	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
0|	0	21	32	36	93	17	95	39	88	51	11	17	35	83	10	98	3	53	70	97	46	91	32	70	5	57	22	89	39	96	8	1	4	86	32	21	69	28	3	91	22	89	54	31	86	67	8	
1|	21	0	53	62	9	28	81	48	69	73	15	93	19	24	65	42	80	73	98	47	89	60	42	7	7	35	61	80	38	39	12	17	41	2	69	56	96	67	99	14	46	81	67	41	7	58	34	
2|	32	53	0	63	44	28	42	14	2	25	29	85	87	47	5	47	44	28	4	93	78	10	35	4	47	24	95	29	77	48	66	49	74	28	61	74	25	31	3	86	5	97	63	93	56	71	85	
3|	36	62	63	0	54	13	86	90	33	85	93	76	49	90	36	62	61	86	74	6	63	21	7	97	52	8	34	94	45	75	46	72	38	84	34	81	23	89	70	95	71	42	20	77	61	51	95	
4|	93	9	44	54	0	48	90	13	99	48	25	95	42	95	68	87	70	99	76	92	4	61	84	95	1	4	32	81	52	10	63	76	62	3	53	71	22	94	60	84	54	67	49	21	88	51	90	
5|	17	28	28	13	48	0	45	59	7	11	71	51	50	21	48	35	51	12	92	59	50	97	49	23	58	37	54	61	98	52	18	37	7	33	49	65	69	16	54	48	84	83	23	33	54	49	49	
6|	95	81	42	86	90	45	0	95	86	58	91	46	34	47	78	80	75	93	39	14	92	88	44	17	72	83	38	34	57	34	11	63	76	18	38	93	80	95	90	48	34	78	2	84	86	37	78	
7|	39	48	14	90	13	59	95	0	58	13	68	94	85	60	61	57	65	42	72	54	10	39	4	92	1	18	42	92	40	45	52	11	7	11	52	13	87	66	39	33	26	95	1	40	56	67	78	
8|	88	69	2	33	99	7	86	58	0	86	8	6	16	99	86	98	65	33	33	84	18	87	28	30	42	81	99	72	34	26	49	24	94	81	19	65	69	93	86	25	48	99	99	30	80	62	99	
9|	51	73	25	85	48	11	58	13	86	0	45	72	34	44	57	7	99	78	47	5	21	62	90	61	15	14	74	56	42	83	66	66	41	40	73	73	24	32	43	12	97	5	4	49	90	89	20	
10|	11	15	29	93	25	71	91	68	8	45	0	57	72	11	42	15	29	49	56	99	15	72	10	65	53	53	52	94	33	36	92	82	96	59	53	89	28	80	36	70	51	78	79	10	20	10	14	
11|	17	93	85	76	95	51	46	94	6	72	57	0	17	48	77	3	14	43	78	19	38	42	43	19	94	8	18	39	80	39	52	81	7	73	65	77	77	95	85	8	38	65	9	62	93	53	90	
12|	35	19	87	49	42	50	34	85	16	34	72	17	0	56	52	32	94	50	92	15	71	58	88	34	63	1	23	56	76	31	76	97	13	5	3	38	86	13	8	92	5	65	52	62	51	16	72	
13|	83	24	47	90	95	21	47	60	99	44	11	48	56	0	1	57	82	93	80	9	43	56	84	98	90	21	62	93	67	59	92	69	28	33	64	14	36	63	37	94	69	40	70	55	47	77	38	
14|	10	65	5	36	68	48	78	61	86	57	42	77	52	1	0	75	37	18	88	48	35	35	33	58	48	67	27	94	42	20	77	84	7	87	82	44	66	40	88	42	20	80	17	73	17	87	23	
15|	98	42	47	62	87	35	80	57	98	7	15	3	32	57	75	0	48	98	57	1	2	15	40	73	53	83	87	52	47	23	4	26	41	93	32	4	7	89	96	32	57	3	45	66	17	36	29	
16|	3	80	44	61	70	51	75	65	65	99	29	14	94	82	37	48	0	64	5	75	33	80	24	38	16	65	74	28	16	71	77	59	46	19	10	96	6	50	19	53	80	97	18	20	32	26	27	
17|	53	73	28	86	99	12	93	42	33	78	49	43	50	93	18	98	64	0	42	51	60	78	75	44	14	58	22	9	8	18	29	95	71	72	74	1	23	33	74	85	82	42	69	10	51	99	87	
18|	70	98	4	74	76	92	39	72	33	47	56	78	92	80	88	57	5	42	0	87	76	93	94	74	95	98	12	36	52	9	48	63	36	34	52	12	45	8	72	92	92	31	51	60	59	72	24	
19|	97	47	93	6	92	59	14	54	84	5	99	19	15	9	48	1	75	51	87	0	88	99	45	58	45	40	91	4	48	50	8	30	97	79	38	96	49	37	99	23	35	65	1	82	97	95	31	
20|	46	89	78	63	4	50	92	10	18	21	15	38	71	43	35	2	33	60	76	88	0	58	48	14	44	29	39	25	45	67	86	63	50	82	53	44	7	62	82	6	87	4	8	3	26	82	4	
21|	91	60	10	21	61	97	88	39	87	62	72	42	58	56	35	15	80	78	93	99	58	0	79	90	19	51	69	26	1	23	60	67	89	65	46	57	10	30	29	44	19	12	99	25	11	49	84	
22|	32	42	35	7	84	49	44	4	28	90	10	43	88	84	33	40	24	75	94	45	48	79	0	24	41	27	97	75	74	24	40	39	69	73	92	53	48	73	29	87	97	38	96	39	31	49	95	
23|	70	7	4	97	95	23	17	92	30	61	65	19	34	98	58	73	38	44	74	58	14	90	24	0	5	78	30	31	13	44	39	57	17	26	38	54	16	56	95	51	60	11	27	94	6	53	89	
24|	5	7	47	52	1	58	72	1	42	15	53	94	63	90	48	53	16	14	95	45	44	19	41	5	0	14	67	54	5	38	13	57	10	55	65	34	71	61	59	31	65	19	29	53	40	97	95	
25|	57	35	24	8	4	37	83	18	81	14	53	8	1	21	67	83	65	58	98	40	29	51	27	78	14	0	32	64	42	72	45	96	77	57	91	65	60	99	10	29	94	53	38	32	26	26	8	
26|	22	61	95	34	32	54	38	42	99	74	52	18	23	62	27	87	74	22	12	91	39	69	97	30	67	32	0	43	61	40	95	37	16	39	49	48	85	44	16	98	68	77	64	91	71	23	28	
27|	89	80	29	94	81	61	34	92	72	56	94	39	56	93	94	52	28	9	36	4	25	26	75	31	54	64	43	0	36	67	40	40	48	5	96	21	82	55	42	57	15	14	79	92	5	56	92	
28|	39	38	77	45	52	98	57	40	34	42	33	80	76	67	42	47	16	8	52	48	45	1	74	13	5	42	61	36	0	59	70	88	91	14	91	34	65	37	78	10	40	8	32	18	66	35	59	
29|	96	39	48	75	10	52	34	45	26	83	36	39	31	59	20	23	71	18	9	50	67	23	24	44	38	72	40	67	59	0	15	85	50	86	67	42	69	61	4	53	14	26	62	72	48	97	78	
30|	8	12	66	46	63	18	11	52	49	66	92	52	76	92	77	4	77	29	48	8	86	60	40	39	13	45	95	40	70	15	0	29	36	86	44	38	26	32	34	71	77	65	36	62	19	34	78	
31|	1	17	49	72	76	37	63	11	24	66	82	81	97	69	84	26	59	95	63	30	63	67	39	57	57	96	37	40	88	85	29	0	24	86	70	15	67	88	32	36	96	17	68	30	93	40	38	
32|	4	41	74	38	62	7	76	7	94	41	96	7	13	28	7	41	46	71	36	97	50	89	69	17	10	77	16	48	91	50	36	24	0	51	73	34	30	75	68	21	22	20	42	18	38	65	31	
33|	86	2	28	84	3	33	18	11	81	40	59	73	5	33	87	93	19	72	34	79	82	65	73	26	55	57	39	5	14	86	86	86	51	0	1	50	97	69	57	19	73	39	65	38	70	60	76	
34|	32	69	61	34	53	49	38	52	19	73	53	65	3	64	82	32	10	74	52	38	53	46	92	38	65	91	49	96	91	67	44	70	73	1	0	25	28	26	66	57	76	74	54	47	77	73	5	
35|	21	56	74	81	71	65	93	13	65	73	89	77	38	14	44	4	96	1	12	96	44	57	53	54	34	65	48	21	34	42	38	15	34	50	25	0	8	29	90	20	68	77	23	37	56	77	43	
36|	69	96	25	23	22	69	80	87	69	24	28	77	86	36	66	7	6	23	45	49	7	10	48	16	71	60	85	82	65	69	26	67	30	97	28	8	0	30	72	50	48	39	74	90	68	68	58	
37|	28	67	31	89	94	16	95	66	93	32	80	95	13	63	40	89	50	33	8	37	62	30	73	56	61	99	44	55	37	61	32	88	75	69	26	29	30	0	12	43	58	55	65	36	32	44	96	
38|	3	99	3	70	60	54	90	39	86	43	36	85	8	37	88	96	19	74	72	99	82	29	29	95	59	10	16	42	78	4	34	32	68	57	66	90	72	12	0	19	42	79	87	53	70	59	1	
39|	91	14	86	95	84	48	48	33	25	12	70	8	92	94	42	32	53	85	92	23	6	44	87	51	31	29	98	57	10	53	71	36	21	19	57	20	50	43	19	0	1	28	54	8	70	7	36	
40|	22	46	5	71	54	84	34	26	48	97	51	38	5	69	20	57	80	82	92	35	87	19	97	60	65	94	68	15	40	14	77	96	22	73	76	68	48	58	42	1	0	18	68	29	60	91	20	
41|	89	81	97	42	67	83	78	95	99	5	78	65	65	40	80	3	97	42	31	65	4	12	38	11	19	53	77	14	8	26	65	17	20	39	74	77	39	55	79	28	18	0	70	75	70	93	44	
42|	54	67	63	20	49	23	2	1	99	4	79	9	52	70	17	45	18	69	51	1	8	99	96	27	29	38	64	79	32	62	36	68	42	65	54	23	74	65	87	54	68	70	0	65	67	68	94	
43|	31	41	93	77	21	33	84	40	30	49	10	62	62	55	73	66	20	10	60	82	3	25	39	94	53	32	91	92	18	72	62	30	18	38	47	37	90	36	53	8	29	75	65	0	36	28	52	
44|	86	7	56	61	88	54	86	56	80	90	20	93	51	47	17	17	32	51	59	97	26	11	31	6	40	26	71	5	66	48	19	93	38	70	77	56	68	32	70	70	60	70	67	36	0	92	3	
45|	67	58	71	51	51	49	37	67	62	89	10	53	16	77	87	36	26	99	72	95	82	49	49	53	97	26	23	56	35	97	34	40	65	60	73	77	68	44	59	7	91	93	68	28	92	0	90	
46|	8	34	85	95	90	49	78	78	99	20	14	90	72	38	23	29	27	87	24	31	4	84	95	89	95	8	28	92	59	78	78	38	31	76	5	43	58	96	1	36	20	44	94	52	3	90	0	
